<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
914.HK,D,20130107,000000,24.504,25.01,24.419,24.967,13513557,0
914.HK,D,20130108,000000,25.179,25.179,24.208,24.25,9545937,0
914.HK,D,20130109,000000,24.25,24.545,24.123,24.208,8164075,0
914.HK,D,20130110,000000,24.293,24.841,24.165,24.293,7114213,0
914.HK,D,20130111,000000,24.629,24.629,23.744,23.913,11803611,0
914.HK,D,20130114,000000,23.786,23.955,23.533,23.617,12883895,0
914.HK,D,20130115,000000,23.617,24.123,23.575,23.786,5356684,0
914.HK,D,20130116,000000,23.913,23.913,23.238,23.491,11266208,0
914.HK,D,20130117,000000,23.829,23.829,23.112,23.449,8658706,0
914.HK,D,20130118,000000,23.617,24.165,23.617,24.123,11181511,0
914.HK,D,20130121,000000,24.293,24.629,24.123,24.629,18113932,0
914.HK,D,20130122,000000,24.377,25.052,24.377,24.756,18322432,0
914.HK,D,20130123,000000,24.883,25.01,24.377,24.756,11306210,0
914.HK,D,20130124,000000,24.335,25.389,24.165,24.293,27463396,0
914.HK,D,20130125,000000,24.419,24.673,24.08,24.25,13420680,0
914.HK,D,20130128,000000,24.208,25.432,24.208,25.094,27882740,0
914.HK,D,20130129,000000,25.389,25.684,25.135,25.642,12232801,0
914.HK,D,20130130,000000,25.726,26.064,25.432,25.937,13639993,0
914.HK,D,20130131,000000,25.979,25.979,25.135,25.684,11874575,0
914.HK,D,20130201,000000,25.811,26.148,25.219,26.022,10064349,0
914.HK,D,20130204,000000,26.148,26.738,25.979,26.106,13167764,0
914.HK,D,20130205,000000,25.684,26.527,25.347,25.979,13205511,0
914.HK,D,20130206,000000,26.275,26.57,25.768,25.937,11970341,0
914.HK,D,20130207,000000,25.768,25.937,25.135,25.262,20595918,0
914.HK,D,20130208,000000,25.347,25.473,24.714,25.01,15027326,0
914.HK,D,20130214,000000,25.01,25.895,25.01,25.684,9033858,0
914.HK,D,20130215,000000,25.347,26.401,25.347,26.106,6697227,0
914.HK,D,20130218,000000,26.57,26.57,25.811,25.853,6136104,0
914.HK,D,20130219,000000,25.558,25.853,24.377,24.419,19904293,0
914.HK,D,20130220,000000,24.714,24.756,24.123,24.714,13230633,0
914.HK,D,20130221,000000,24.46,24.46,23.617,23.913,24311110,0
914.HK,D,20130222,000000,23.617,24.039,23.575,23.617,16883669,0
914.HK,D,20130225,000000,23.66,23.786,23.027,23.154,19481907,0
914.HK,D,20130226,000000,22.773,23.154,22.773,22.9,14716894,0
914.HK,D,20130227,000000,22.942,23.238,22.9,23.112,7095076,0
914.HK,D,20130228,000000,23.449,24.25,23.406,23.913,25012035,0
914.HK,D,20130301,000000,23.66,24.673,23.66,24.629,22678450,0
914.HK,D,20130304,000000,24.545,24.545,23.197,23.449,29252409,0
914.HK,D,20130305,000000,23.533,23.744,23.197,23.702,16404030,0
914.HK,D,20130306,000000,23.786,24.25,23.744,24.08,15374840,0
914.HK,D,20130307,000000,24.08,24.08,23.491,23.829,5680300,0
914.HK,D,20130308,000000,23.997,24.25,23.829,23.955,9532887,0
914.HK,D,20130311,000000,23.871,24.039,23.365,23.449,12287594,0
914.HK,D,20130312,000000,23.28,23.829,23.027,23.07,16817467,0
914.HK,D,20130313,000000,22.985,23.322,22.436,22.563,17718718,0
914.HK,D,20130314,000000,22.099,22.773,21.974,22.605,13581017,0
914.HK,D,20130315,000000,22.858,22.858,21.213,21.341,44027062,0
914.HK,D,20130318,000000,20.835,21.044,20.497,20.961,32594969,0
914.HK,D,20130319,000000,21.509,21.72,21.298,21.593,18332141,0
914.HK,D,20130320,000000,21.636,22.563,21.509,22.394,21804954,0
914.HK,D,20130321,000000,22.521,22.605,21.761,22.058,14613690,0
914.HK,D,20130322,000000,21.931,22.436,21.846,22.058,7492126,0
914.HK,D,20130325,000000,21.761,22.521,21.761,22.142,8811817,0
914.HK,D,20130326,000000,21.761,22.352,21.761,22.015,8383810,0
914.HK,D,20130327,000000,21.974,22.605,21.974,22.394,13074814,0
914.HK,D,20130328,000000,22.436,22.436,21.003,21.72,21608807,0
914.HK,D,20130402,000000,21.468,22.352,21.468,21.678,18582760,0
914.HK,D,20130403,000000,21.931,22.183,21.761,22.058,10938601,0
914.HK,D,20130405,000000,22.605,22.605,21.509,21.846,21965912,0
914.HK,D,20130408,000000,21.593,22.436,21.509,21.931,17428819,0
914.HK,D,20130409,000000,22.226,23.406,22.099,23.112,24685259,0
914.HK,D,20130410,000000,23.365,23.449,22.521,23.28,21462351,0
914.HK,D,20130411,000000,23.617,23.955,23.154,23.238,10660394,0
914.HK,D,20130412,000000,23.533,23.533,22.942,23.112,7942565,0
914.HK,D,20130415,000000,22.858,23.238,22.521,22.521,17290740,0
914.HK,D,20130416,000000,22.352,23.197,22.142,23.07,19986412,0
914.HK,D,20130417,000000,23.449,23.702,23.07,23.07,14784650,0
914.HK,D,20130418,000000,23.28,23.786,23.112,23.617,16591851,0
914.HK,D,20130419,000000,23.617,24.377,23.617,24.293,13545867,0
914.HK,D,20130422,000000,24.967,25.135,24.293,24.419,12825031,0
914.HK,D,20130423,000000,24.208,24.208,23.238,23.617,39471260,0
914.HK,D,20130424,000000,23.913,24.123,23.66,23.913,11654604,0
914.HK,D,20130425,000000,24.039,24.08,22.985,23.406,28422510,0
914.HK,D,20130426,000000,23.702,23.744,23.28,23.449,15893103,0
914.HK,D,20130429,000000,23.406,23.702,23.112,23.449,7256905,0
914.HK,D,20130430,000000,23.66,23.786,23.491,23.702,7841901,0
914.HK,D,20130502,000000,23.238,23.786,23.112,23.744,15177167,0
914.HK,D,20130503,000000,23.871,24.039,23.491,23.786,11271564,0
914.HK,D,20130506,000000,24.165,24.545,23.997,24.504,20354743,0
914.HK,D,20130507,000000,24.504,24.629,24.165,24.545,10108818,0
914.HK,D,20130508,000000,24.673,24.756,24.377,24.545,10241020,0
914.HK,D,20130509,000000,24.798,24.798,23.829,24.039,14487192,0
914.HK,D,20130510,000000,23.871,24.08,23.533,23.913,12570034,0
914.HK,D,20130513,000000,24.08,24.08,23.449,23.533,5720356,0
914.HK,D,20130514,000000,23.617,23.786,22.942,23.027,12334681,0
914.HK,D,20130515,000000,23.322,23.322,22.858,23.07,14000174,0
914.HK,D,20130516,000000,22.817,23.027,22.648,22.773,9142979,0
914.HK,D,20130520,000000,22.773,23.154,22.773,23.027,11899321,0
914.HK,D,20130521,000000,23.07,23.154,22.773,22.858,13077686,0
914.HK,D,20130522,000000,22.69,23.322,22.394,23.027,16464825,0
914.HK,D,20130523,000000,22.773,22.985,22.226,22.563,15667034,0
914.HK,D,20130524,000000,22.479,22.605,22.183,22.436,19224019,0
914.HK,D,20130527,000000,22.352,22.521,22.015,22.352,12382337,0
914.HK,D,20130528,000000,22.352,22.773,22.099,22.773,10568399,0
914.HK,D,20130529,000000,22.563,22.69,22.183,22.352,10406067,0
914.HK,D,20130530,000000,22.183,22.183,21.551,21.551,20056579,0
914.HK,D,20130531,000000,21.551,21.846,21.341,21.383,11720473,0
914.HK,D,20130603,000000,21.171,21.593,21.087,21.129,19755767,0
914.HK,D,20130604,000000,21.003,21.383,21.003,21.129,7269394,0
914.HK,D,20130605,000000,21.003,21.087,20.58,20.75,14406919,0
914.HK,D,20130606,000000,20.328,20.876,20.286,20.58,7569150,0
914.HK,D,20130607,000000,20.497,20.665,19.991,20.201,12853802,0
914.HK,D,20130610,000000,20.244,20.455,19.442,19.948,8629707,0
914.HK,D,20130611,000000,19.696,19.906,19.062,19.274,17829163,0
914.HK,D,20130613,000000,18.683,19.231,18.345,18.979,29184822,0
914.HK,D,20130614,000000,19.147,19.231,18.557,18.6,19905490,0
914.HK,D,20130617,000000,18.515,19.189,18.431,18.515,21540542,0
914.HK,D,20130618,000000,18.557,18.642,18.262,18.515,19178518,0
914.HK,D,20130619,000000,18.557,18.6,17.755,17.924,26049736,0
914.HK,D,20130620,000000,17.67,17.755,17.207,17.419,22658534,0
914.HK,D,20130621,000000,17.039,17.883,16.802,17.713,31484537,0
914.HK,D,20130624,000000,17.586,17.755,16.912,17.25,19933352,0
914.HK,D,20130625,000000,17.419,17.586,16.212,16.912,36899305,0
914.HK,D,20130626,000000,17.207,17.502,16.996,17.334,22039003,0
